ツモ,対応地形数,使用ミノ,未使用ミノ,テト譜
TOJSTJZ,20,TTJSZO;TTJJSO;TTJJZO;TTJJSZ,J;Z;S;O,v115@9gD8ywi0C8BtxwRpg0E8xwi0D8BtwwRpg0JeAgWGAq?+aFDqOBAA;v115@9gD8R4wwi0C8R4xwi0E8xwg0RpD8ywg0RpJeAgWGAv?u/wCz/AAA;v115@9gD8ywi0C8Btxwi0E8xwg0RpD8Btwwg0RpJeAgWGAv?/lFDqOBAA;v115@9gD8R4BtRpC8R4ywRpE8xwi0D8ywBtg0JeAgWGA0vy?tC0XBAA;v115@9gD8R4g0ywC8R4j0wwE8g0RpxwD8h0RpxwJeAgWGAv?uPPCzOBAA;v115@9gD8R4wwi0C8R4g0xwRpE8g0xwRpD8h0ywg0JeAgWG?AUn/wCz/AAA;v115@9gD8BtRph0C8ywRpg0wwE8i0xwD8wwBth0wwJeAgWG?A0f/wCvXBAA;v115@9gD8R4wwRpg0C8R4xwRpg0E8xwi0D8ywi0JeAgWGAq?uHgCUNBAA;v115@9gD8R4wwi0C8R4xwRpg0E8xwi0D8ywRpg0JeAgWGA0?vTxCv/AAA;v115@9gD8wwR4i0C8zwi0E8xwg0RpD8R4wwg0RpJeAgWGAv?/VxCKNBAA;v115@9gD8wwR4i0C8zwRpg0E8xwi0D8R4wwRpg0JeAgWGAq?+KxCKNBAA;v115@9gD8wwR4i0C8zwi0E8xwRpg0D8R4wwRpg0JeAgWGAv?u/wCz/AAA;v115@9gD8xwBtRpC8ywR4RpE8R4i0D8ywBtg0JeAgWGAK3T?xC0XBAA;v115@9gD8wwBti0C81wg0E8R4wwRpD8R4BtRpJeAgWGAvOm?PCzXBAA;v115@9gD8R4wwi0C8R4xwi0E8xwRpg0D8ywRpg0JeAgWGAv?u/wCz/AAA;v115@9gD8R4wwg0RpC8R4xwi0E8xwg0RpD8ywi0JeAgWGAq?u/wCTHBAA;v115@9gD8RpQ4ywC8i0R4xwE8h0Q4xwD8Rpi0wwJeAgWGAq?+jPCUHBAA;v115@9gD8Rpwwi0C8i0xwQ4g0E8g0xwR4D8RpywQ4JeAgWG?A0vTxCKHBAA;v115@9gD8wwk0C8xwg0R4RpE8R4wwRpD8wwg0ywg0JeAgWG?AU3TxCq/AAA;v115@9gD8wwBtwwh0C80wh0E8R4wwh0D8R4Bth0JeAgWGAq?+jPC0XBAA
OJTSZLO,7,TLJSZO;TLJZOO;TLJSOO;TLSZOO,O;S;Z;J,v115@9gD8R4RphlC8R4g0RpwwglE8g0RpxwD8h0RpwwglJe?AgWGAvu/VCPNBAA;v115@9gD8R4hlRpC8R4g0wwglRpE8g0xwRpD8h0wwglRpJe?AgWGAv/VWCPNBAA;v115@9gD8wwilRpC8xwglBtRpE8Rpi0D8wwRpBtg0JeAgWG?AvfjxCvCBAA;v115@9gD8wwilRpC8xwglR4RpE8i0RpD8wwR4g0RpJeAgWG?AvvTxCvCBAA;v115@9gD8wwRpilC8xwRpglR4E8Rpi0D8wwRpR4g0JeAgWG?AvvTxCvCBAA;v115@9gD8R4hlRpC8R4BtglRpE8wwBtRpD8ywglRpJeAgWG?AvujWCPNBAA;v115@9gD8RpBthlC8i0wwBtglE8g0xwR4D8RpwwR4glJeAg?WGA0vTWCaHBAA
JTOOZSI,7,TJSZOO;TIJSOO;TIJZOO,I;Z;S,v115@9gD8zhRpC8ywR4RpE8i0RpD8wwR4g0RpJeAgWGAvvT?xCP+AAA;v115@9gD8zhRpC8BtywRpE8i0RpD8Btwwg0RpJeAgWGAvfj?xCP+AAA;v115@9gD8zhRpC8Bti0RpE8ywRpD8Btwwg0RpJeAgWGAvuz?PCP+AAA;v115@9gD8zhRpC8ywBtRpE8Rpi0D8wwRpBtg0JeAgWGAvfj?xCP+AAA;v115@9gD8wwR4AtRpC8ywBtRpE8i0RpD8R4Atg0RpJeAgWG?AvfrgCUNBAA;v115@9gD8zhRpC8ywAtg0RpE8Btg0RpD8wwAth0RpJeAgWG?AvfjxCP+AAA;v115@9gD8wwBtg0RpC8ywBtRpE8R4g0RpD8R4h0RpJeAgWG?Av+aFDKNBAA
JTOZOSI,7,TJSZOO;TIJSOO;TIJZOO,I;Z;S,v115@9gD8zhRpC8ywR4RpE8i0RpD8wwR4g0RpJeAgWGAvvT?xCP+AAA;v115@9gD8zhRpC8BtywRpE8i0RpD8Btwwg0RpJeAgWGAvfj?xCP+AAA;v115@9gD8zhRpC8Bti0RpE8ywRpD8Btwwg0RpJeAgWGAvuz?PCP+AAA;v115@9gD8zhRpC8ywBtRpE8Rpi0D8wwRpBtg0JeAgWGAvfj?xCP+AAA;v115@9gD8wwR4AtRpC8ywBtRpE8i0RpD8R4Atg0RpJeAgWG?AvfrgCUNBAA;v115@9gD8zhRpC8ywAtg0RpE8Btg0RpD8wwAth0RpJeAgWG?AvfjxCP+AAA;v115@9gD8wwBtg0RpC8ywBtRpE8R4g0RpD8R4h0RpJeAgWG?Av+aFDKNBAA
OJTSZOL,8,TJSZOO;TLJZOO;TLJSOO;TLSZOO,L;S;Z;J,v115@9gD8R4RphlC8R4g0RpwwglE8g0RpxwD8h0RpwwglJe?AgWGAvu/VCPNBAA;v115@9gD8R4hlRpC8R4g0wwglRpE8g0xwRpD8h0wwglRpJe?AgWGAv/VWCPNBAA;v115@9gD8wwilRpC8xwglBtRpE8Rpi0D8wwRpBtg0JeAgWG?AvfjxCvCBAA;v115@9gD8wwR4AtRpC8ywBtRpE8i0RpD8R4Atg0RpJeAgWG?AvfrgCUNBAA;v115@9gD8wwilRpC8xwglR4RpE8i0RpD8wwR4g0RpJeAgWG?AvvTxCvCBAA;v115@9gD8wwRpilC8xwRpglR4E8Rpi0D8wwRpR4g0JeAgWG?AvvTxCvCBAA;v115@9gD8ilwwRpC8i0xwRpE8g0R4RpD8glR4wwRpJeAgWG?AvvTxCvCBAA;v115@9gD8R4hlRpC8R4BtglRpE8wwBtRpD8ywglRpJeAgWG?AvujWCPNBAA
TJOSTLZ,22,TTJSZO;TTLJSZ;TTLJZO;TTLJSO,L;O;S;Z,v115@9gD8ywilC8BtxwglRpE8xwg0RpD8Btwwi0JeAgWGAK?HmFDsOBAA;v115@9gD8R4wwilC8R4xwglRpE8xwg0RpD8ywi0JeAgWGAq?+ytC0CBAA;v115@9gD8R4BtRpC8R4ywRpE8xwi0D8ywBtg0JeAgWGA0vy?tC0XBAA;v115@9gD8wwR4glRpC8zwglRpE8xwi0D8R4wwhlg0JeAgWG?AqOMgCUNBAA;v115@9gD8BtRphlC8ywRpwwglE8i0xwD8wwBtg0wwglJeAg?WGA0/DxCvXBAA;v115@9gD8R4ywglC8R4g0wwilE8g0xwRpD8h0xwRpJeAgWG?Av/VWCzOBAA;v115@9gD8R4ilwwC8R4g0RpxwE8g0RpxwD8h0glywJeAgWG?A0vKxCzCBAA;v115@9gD8wwR4ilC8zwRpg0E8xwRpg0D8R4wwglh0JeAgWG?AKHWxCzCBAA;v115@9gD8wwR4ilC8zwglRpE8xwg0RpD8R4wwi0JeAgWGAK?HWxCMNBAA;v115@9gD8R4wwg0hlC8R4xwi0E8xwRpglD8ywRpglJeAgWG?Avu/wCzCBAA;v115@9gD8R4wwilC8R4xwRpg0E8xwRpg0D8ywglh0JeAgWG?A0vKxCzCBAA;v115@9gD8xwBtRpC8ywR4RpE8R4i0D8ywBtg0JeAgWGAK3T?xC0XBAA;v115@9gD8wwBti0C81wg0E8R4wwRpD8R4BtRpJeAgWGAvOm?PCzXBAA;v115@9gD8R4wwglRpC8R4xwglRpE8xwi0D8ywhlg0JeAgWG?A0vTxCMHBAA;v115@9gD8R4wwRpglC8R4xwilE8xwi0D8ywRpg0JeAgWGA0?/DxCTHBAA;v115@9gD8R4wwh0glC8R4xwilE8xwg0RpD8ywg0RpJeAgWG?AvOExCz/AAA;v115@9gD8R4BthlC8R4g0wwBtglE8g0ywglD8h0zwJeAgWG?A0/lFDMNBAA;v115@9gD8ywilC8BtxwglR4E8xwi0D8BtwwR4g0JeAgWGAq?+jFDsOBAA;v115@9gD8ywQ4hlC8BtxwR4glE8xwg0Q4glD8Btwwi0JeAg?WGAq+TWC6OBAA;v115@9gD8R4wwBtglC8R4xwilE8xwg0BtD8ywi0JeAgWGAq?OExCzXBAA;v115@9gD8R4BthlC8R4g0zwE8g0ywglD8h0wwBtglJeAgWG?AqO+tCsXBAA;v115@9gD8wwBtwwhlC80wh0E8R4wwg0glD8R4Btg0glJeAg?WGAq+TxCsXBAA
TJOSTZL,13,TTJSZO;TTLJSZ;TTLJSO,L;O;Z,v115@9gD8R4wwilC8R4xwglRpE8xwg0RpD8ywi0JeAgWGAq?+ytC0CBAA;v115@9gD8R4BtRpC8R4ywRpE8xwi0D8ywBtg0JeAgWGA0vy?tC0XBAA;v115@9gD8R4ilwwC8R4g0RpxwE8g0RpxwD8h0glywJeAgWG?A0vKxCzCBAA;v115@9gD8wwR4ilC8zwRpg0E8xwRpg0D8R4wwglh0JeAgWG?AKHWxCzCBAA;v115@9gD8R4wwg0hlC8R4xwi0E8xwRpglD8ywRpglJeAgWG?Avu/wCzCBAA;v115@9gD8R4wwilC8R4xwRpg0E8xwRpg0D8ywglh0JeAgWG?A0vKxCzCBAA;v115@9gD8xwBtRpC8ywR4RpE8R4i0D8ywBtg0JeAgWGAK3T?xC0XBAA;v115@9gD8wwBti0C81wg0E8R4wwRpD8R4BtRpJeAgWGAvOm?PCzXBAA;v115@9gD8R4BthlC8R4g0wwBtglE8g0ywglD8h0zwJeAgWG?A0/lFDMNBAA;v115@9gD8R4wwilC8R4xwglAtg0E8xwBtg0D8ywAth0JeAg?WGA0fLuC0CBAA;v115@9gD8R4ilwwC8R4g0glAtxwE8g0BtxwD8h0AtywJeAg?WGA0fjxCzCBAA;v115@9gD8zwRpC8ywBtRpE8R4i0D8R4wwBtg0JeAgWGAK3T?xC6OBAA;v115@9gD8wwBti0C8ywBtRpE8R4wwRpD8R4ywg0JeAgWGAU?3TxC6/AAA
TOJSTZJ,13,TTJSZO;TTJJSO;TTJJSZ,J;Z;O,v115@9gD8R4wwi0C8R4xwi0E8xwg0RpD8ywg0RpJeAgWGAv?u/wCz/AAA;v115@9gD8R4BtRpC8R4ywRpE8xwi0D8ywBtg0JeAgWGA0vy?tC0XBAA;v115@9gD8R4wwi0C8R4g0xwRpE8g0xwRpD8h0ywg0JeAgWG?AUn/wCz/AAA;v115@9gD8R4wwi0C8R4xwRpg0E8xwi0D8ywRpg0JeAgWGA0?vTxCv/AAA;v115@9gD8wwR4i0C8zwi0E8xwRpg0D8R4wwRpg0JeAgWGAv?u/wCz/AAA;v115@9gD8xwBtRpC8ywR4RpE8R4i0D8ywBtg0JeAgWGAK3T?xC0XBAA;v115@9gD8wwR4i0C81wg0E8BtwwRpD8R4BtRpJeAgWGAvOm?PCaNBAA;v115@9gD8wwBti0C81wg0E8R4wwRpD8R4BtRpJeAgWGAvOm?PCzXBAA;v115@9gD8R4wwi0C8R4xwi0E8xwRpg0D8ywRpg0JeAgWGAv?u/wCz/AAA;v115@9gD8R4wwi0C8R4xwBtg0E8xwg0BtD8ywi0JeAgWGAq?ujxCz/AAA;v115@9gD8wwBti0C8ywBtRpE8R4wwRpD8R4ywg0JeAgWGAU?3TxC6/AAA;v115@9gD8wwk0C8xwg0R4RpE8R4wwRpD8wwg0ywg0JeAgWG?AU3TxCq/AAA;v115@9gD8R4wwh0AtC8R4xwg0BtE8xwi0D8ywg0Atg0JeAg?WGA0vTxC6/AAA
OJTSOZL,7,TJSZOO;TLJSOO;TLSZOO,L;Z;J,v115@9gD8R4RphlC8R4g0RpwwglE8g0RpxwD8h0RpwwglJe?AgWGAvu/VCPNBAA;v115@9gD8R4hlRpC8R4g0wwglRpE8g0xwRpD8h0wwglRpJe?AgWGAv/VWCPNBAA;v115@9gD8wwR4AtRpC8ywBtRpE8i0RpD8R4Atg0RpJeAgWG?AvfrgCUNBAA;v115@9gD8wwilRpC8xwglR4RpE8i0RpD8wwR4g0RpJeAgWG?AvvTxCvCBAA;v115@9gD8wwRpilC8xwRpglR4E8Rpi0D8wwRpR4g0JeAgWG?AvvTxCvCBAA;v115@9gD8ilwwRpC8i0xwRpE8g0R4RpD8glR4wwRpJeAgWG?AvvTxCvCBAA;v115@9gD8R4hlRpC8R4BtglRpE8wwBtRpD8ywglRpJeAgWG?AvujWCPNBAA
JTOZSOI,6,TJSZOO;TIJSOO;TIJZOO,I;Z;S,v115@9gD8zhRpC8ywR4RpE8i0RpD8wwR4g0RpJeAgWGAvvT?xCP+AAA;v115@9gD8zhRpC8BtywRpE8i0RpD8Btwwg0RpJeAgWGAvfj?xCP+AAA;v115@9gD8zhRpC8Bti0RpE8ywRpD8Btwwg0RpJeAgWGAvuz?PCP+AAA;v115@9gD8zhRpC8ywBtRpE8Rpi0D8wwRpBtg0JeAgWGAvfj?xCP+AAA;v115@9gD8wwR4AtRpC8ywBtRpE8i0RpD8R4Atg0RpJeAgWG?AvfrgCUNBAA;v115@9gD8zhRpC8ywAtg0RpE8Btg0RpD8wwAth0RpJeAgWG?AvfjxCP+AAA
