ツモ,対応地形数,使用ミノ,未使用ミノ,テト譜
TJSLIZO,2,TILJSO,Z,v115@9gRpwhhlh0R4A8Rpwhwwglg0R4D8whxwg0F8whwwgl?E8JeAgWGAUujPCMHBAA;v115@9gRphlwhh0R4A8Rpwwglwhg0R4D8xwwhg0F8wwglwh?E8JeAgWGAp+jPCMHBAA
OZSIJLT,2,TILSZO;TIJSZO,J;L,v115@9gilzhR4A8glywRpR4D8BtRpF8wwBtE8JeAgWGAaH+?tCpCBAA;v115@9gRpBtywR4A8Rpg0BtwwR4D8zhF8i0E8JeAgWGApvb?gC6OBAA
JLIOTSZ,3,TILJSO;TILSZO,Z;J,v115@9gRpwhhlh0R4A8Rpwhwwglg0R4D8whxwg0F8whwwgl?E8JeAgWGAUujPCMHBAA;v115@9gRphlwhh0R4A8Rpwwglwhg0R4D8xwwhg0F8wwglwh?E8JeAgWGAp+jPCMHBAA;v115@9gRpwhQ4BtywA8RpwhR4BtwwD8whilF8whglQ4E8Je?AgWGAMujFDvOBAA
TJLSIZO,2,TILJSO,Z,v115@9gRpwhhlh0R4A8Rpwhwwglg0R4D8whxwg0F8whwwgl?E8JeAgWGAUujPCMHBAA;v115@9gRphlwhh0R4A8Rpwwglwhg0R4D8xwwhg0F8wwglwh?E8JeAgWGAp+jPCMHBAA
ZOSIJLT,2,TILSZO;TIJSZO,J;L,v115@9gilzhR4A8glywRpR4D8BtRpF8wwBtE8JeAgWGAaH+?tCpCBAA;v115@9gRpBtywR4A8Rpg0BtwwR4D8zhF8i0E8JeAgWGApvb?gC6OBAA
JLOITSZ,3,TILJSO;TILSZO,Z;J,v115@9gRpwhhlh0R4A8Rpwhwwglg0R4D8whxwg0F8whwwgl?E8JeAgWGAUujPCMHBAA;v115@9gRphlwhh0R4A8Rpwwglwhg0R4D8xwwhg0F8wwglwh?E8JeAgWGAp+jPCMHBAA;v115@9gRpwhQ4BtywA8RpwhR4BtwwD8whilF8whglQ4E8Je?AgWGAMujFDvOBAA
TJLSIOZ,2,TILJSO,Z,v115@9gRpwhhlh0R4A8Rpwhwwglg0R4D8whxwg0F8whwwgl?E8JeAgWGAUujPCMHBAA;v115@9gRphlwhh0R4A8Rpwwglwhg0R4D8xwwhg0F8wwglwh?E8JeAgWGAp+jPCMHBAA
ZSOIJLT,2,TILSZO;TIJSZO,J;L,v115@9gilzhR4A8glywRpR4D8BtRpF8wwBtE8JeAgWGAaH+?tCpCBAA;v115@9gRpBtywR4A8Rpg0BtwwR4D8zhF8i0E8JeAgWGApvb?gC6OBAA
JOLITSZ,3,TILJSO;TILSZO,Z;J,v115@9gRpwhhlh0R4A8Rpwhwwglg0R4D8whxwg0F8whwwgl?E8JeAgWGAUujPCMHBAA;v115@9gRphlwhh0R4A8Rpwwglwhg0R4D8xwwhg0F8wwglwh?E8JeAgWGAp+jPCMHBAA;v115@9gRpwhQ4BtywA8RpwhR4BtwwD8whilF8whglQ4E8Je?AgWGAMujFDvOBAA
ZSIOJLT,2,TILSZO;TIJSZO,J;L,v115@9gilzhR4A8glywRpR4D8BtRpF8wwBtE8JeAgWGAaH+?tCpCBAA;v115@9gRpBtywR4A8Rpg0BtwwR4D8zhF8i0E8JeAgWGApvb?gC6OBAA
TJLSOIZ,3,TILJSO;TLJSZO,Z;I,v115@9gRpwhhlh0R4A8Rpwhwwglg0R4D8whxwg0F8whwwgl?E8JeAgWGAUujPCMHBAA;v115@9gRphlwhh0R4A8Rpwwglwhg0R4D8xwwhg0F8wwglwh?E8JeAgWGAp+jPCMHBAA;v115@9gRpBtilR4A8Rpwwi0R4D8xwglg0F8wwBtE8JeAgWG?AUtHgCsXBAA
OJLITSZ,3,TILJSO;TILSZO,Z;J,v115@9gRpwhhlh0R4A8Rpwhwwglg0R4D8whxwg0F8whwwgl?E8JeAgWGAUujPCMHBAA;v115@9gRphlwhh0R4A8Rpwwglwhg0R4D8xwwhg0F8wwglwh?E8JeAgWGAp+jPCMHBAA;v115@9gRpwhQ4BtywA8RpwhR4BtwwD8whilF8whglQ4E8Je?AgWGAMujFDvOBAA
ZSIJOLT,1,TIJSZO,L,v115@9gRpBtywR4A8Rpg0BtwwR4D8zhF8i0E8JeAgWGApvb?gC6OBAA
OJLITZS,2,TILJSO,Z,v115@9gRpwhhlh0R4A8Rpwhwwglg0R4D8whxwg0F8whwwgl?E8JeAgWGAUujPCMHBAA;v115@9gRphlwhh0R4A8Rpwwglwhg0R4D8xwwhg0F8wwglwh?E8JeAgWGAp+jPCMHBAA
